message,category_id,category_name,reasoning,award_date
"Hey all, I would like to take this moment to thank each of you for all your support in 2025 with all",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you for being such a vital part of our cross-functional journey this year! Your collaboration ,D,Teamwork & Collaboration,Strong collaboration and team support,
"Yasmin, thank you for all your support with gift card issues from our customer service team this yea",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey Val!   We’re almost at the end of the year, which means that soon you won’t be my TL anymore 🥲. ",A,Leadership & Management,Demonstrated strong leadership and mentoring,
This award is a special award for each of you who contributed into bringing Floats to the great shap,E,Professional Excellence,Strong professional contribution,
"As the year comes to an end , I would like to take a moment to sincerely thank each of you for the o",D,Teamwork & Collaboration,Strong collaboration and team support,
"Dear Procurement Team,  As we close out 2025, I want to express my heartfelt appreciation for your e",D,Teamwork & Collaboration,Strong collaboration and team support,
"As we approach the end of another year, I would like to sincerely thank you for the dedication, coll",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you Sarah for being an amazing payroll partner throughout the year. You are a pleasure to work,E,Professional Excellence,Professional excellence and expertise,
"Thank you ALL for your fantastic collaboration throughout 2025. Your timely posting of payments, qui",D,Teamwork & Collaboration,Strong collaboration and team support,
Team - I want to recognise the fantastic team effort to finalize our Employee Transfer policy! This ,D,Teamwork & Collaboration,Strong collaboration and team support,
"As the year comes to a close, I would like to take a moment to thank all of you with whom I had the ",D,Teamwork & Collaboration,Strong collaboration and team support,
"To the best Payroll duo i've ever had the pleasure to work with, I would like to sincerely thank you",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey Maria, this award is a special one. It cumulates all you support in 2025 in relation to Expenses",D,Teamwork & Collaboration,Strong collaboration and team support,
"Jessica and Maria, As we come to the end of 2025, I want to take a moment to thank you for your part",D,Teamwork & Collaboration,Strong collaboration and team support,
Kelly thank you so much for following up with the Phoenix Industries customer escalation today. This,C,Customer & Client Focus,Exceptional customer service and relationships,
"I just wanted to take a moment to celebrate everyone on the Control Center design team, this is long",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you both for putting together the recap videos for our areas, Project Management and Integrati",D,Teamwork & Collaboration,Strong collaboration and team support,
"Patricia, apologies for the late notice but I wanted to take a moment to thank for you helping me wi",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thomas We hope you have a fantastic birthday, and had a great birthday long weekend",E,Professional Excellence,Strong professional contribution,
"Hi All, As we come to the end of the year, I want to thank each of you for your hard work, dedicatio",D,Teamwork & Collaboration,Strong collaboration and team support,
I just want to recognize the fantastic collaboration from the all of you with me for both Payroll an,A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Lauren and Derek, I just want to take a moment to thank you for all the support you have provided th",D,Teamwork & Collaboration,Strong collaboration and team support,
"Big thank you to Brandon and Chris for yet another round of ""what on earth is he asking that for"", a",C,Customer & Client Focus,Exceptional customer service and relationships,
"Daniel, I really appreciate all the work you do for the team. You take on a lot of the support work ",D,Teamwork & Collaboration,Strong collaboration and team support,
Huge thanks and Congratulations to Elena for an amazing years work. She is always on top of every de,E,Professional Excellence,Professional excellence and expertise,
"Huge thanks to all of our control owners, preparers and delegates for all their work over the past q",D,Teamwork & Collaboration,Strong collaboration and team support,
"Guys,  As 2025 winds down i would like to share my gratitude for all the help and support given thro",D,Teamwork & Collaboration,Strong collaboration and team support,
Riley Thank you so much for helping out our Talent Brand team by taking back some of our referral cu,D,Teamwork & Collaboration,Strong collaboration and team support,
"Alex and Cameron didn't just weather a snowstorm, you turned it into a masterclass in quality and te",D,Teamwork & Collaboration,Strong collaboration and team support,
"I would like to take this opportunity to thank you all for your collaboration, unwavering support, a",D,Teamwork & Collaboration,Strong collaboration and team support,
"My dear Compensation ladies,  As I reflect on the past year, I feel I absolutely need to recognize t",D,Teamwork & Collaboration,Strong collaboration and team support,
"Maya,  As the year comes to an end, I wanted to take a moment to thank you for all the hard work you",D,Teamwork & Collaboration,Strong collaboration and team support,
While I was on holiday you took charge of the ongoing complicated query with TechCorp and made sure ,D,Teamwork & Collaboration,Strong collaboration and team support,
"Michael,  Thanks for all your help, support and guidance in 2025. I know i can give you a ""quick cal",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hello Ladies,  I'd like to thank you for your flexibility, patience, and easy going approach. Your u",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey team, I would like to take this moment to thank you for all your incredible support this year wi",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey team, I would like to take this time to thank you for all your support in 2025. It has been an e",D,Teamwork & Collaboration,Strong collaboration and team support,
Lisa I want to take the time to recognize the amazing year you have had in Payroll. The list of proj,D,Teamwork & Collaboration,Strong collaboration and team support,
"Robert, it is fantastic to see that we went 5 weeks without a single chargeback. This is a record fo",F,Social Responsibility & Culture,Community and social impact,
"Hi Tyler,  I just wanted to say thank you for all your support throughout the year. You've always be",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you all for your continued support throughout the year. There were ups and downs, but every ex",D,Teamwork & Collaboration,Strong collaboration and team support,
Just wanted to thank you all for all of your help and support over the past year. It's incredible to,D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you for the support, teamwork, and positive energy you've brought throughout the year. It's be",D,Teamwork & Collaboration,Strong collaboration and team support,
Guys just wanted to take the time to thank you all for working together over the last 12 months. You,D,Teamwork & Collaboration,Strong collaboration and team support,
Lads! Just wanted to express my sincere thanks for your help and support this year. Always willing t,D,Teamwork & Collaboration,Strong collaboration and team support,
Jordan I really appreciate all your help with organizing the screens for the family festive party an,D,Teamwork & Collaboration,Strong collaboration and team support,
"Dear Marcus and Tyler,  On behalf of the Customer Service Leadership and Management team, we want to",C,Customer & Client Focus,Exceptional customer service and relationships,
"Sofia and Alex, I wanted to thank you both in recent weeks for helping the phoenix project through v",D,Teamwork & Collaboration,Strong collaboration and team support,
"Emma, I really want to thank you for the last few weeks of incredible contributions with regard to s",D,Teamwork & Collaboration,Strong collaboration and team support,
"Jake, shout out to you for mastering flow mapping by figuring it out and looking at online resources",A,Leadership & Management,Demonstrated strong leadership and mentoring,
Just wanted to acknowledge all the support the both of you have given me in helping me get the testi,D,Teamwork & Collaboration,Strong collaboration and team support,
I would like to express my sincere gratitude for covering my responsibilities last week. I was not  ,D,Teamwork & Collaboration,Strong collaboration and team support,
Thanks Ryan for diligence and quick response for a report I needed. It was an urgent request that ca,D,Teamwork & Collaboration,Strong collaboration and team support,
"I'm so proud of the collaboration, creativity, and commitment this group brought throughout the enti",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you all so much for jumping in and making sure today's TechCorp Leaders Meeting was productive,E,Professional Excellence,Professional excellence and expertise,
"Maya and Sam,  As we finish up 2025, I just want to say a big thank you for all your help and teamwo",D,Teamwork & Collaboration,Strong collaboration and team support,
"Delivering an AI initiative takes more than planning—it takes alignment, trust, and incredible teamw",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you to each of you for being a part of our filming yesterday around the office. We know the as,D,Teamwork & Collaboration,Strong collaboration and team support,
"Your teamwork, hustle, and positive energy made a massive difference. I'm still in awe of that recor",D,Teamwork & Collaboration,Strong collaboration and team support,
"Maya and Sam, I just want to call out the fantastic collaboration between the Benefits team and the ",D,Teamwork & Collaboration,Strong collaboration and team support,
I want to take a moment to recognize the incredible partnership between Workplace Experience and FP&,D,Teamwork & Collaboration,Strong collaboration and team support,
"Claire and Jessica, I wanted to take a moment to thank you both for your incredible partnership thro",D,Teamwork & Collaboration,Strong collaboration and team support,
"Team, huge congrats on delivering such an incredible family festive event, with a very special visit",E,Professional Excellence,Professional excellence and expertise,
"I would like to extend a big thank you to this HX team for all your support, partnership and collabo",D,Teamwork & Collaboration,Strong collaboration and team support,
Appreciate you adjusting the time to make it possible for the kids to see Santa in the office. The k,E,Professional Excellence,Strong professional contribution,
"Hi Jordan and Casey,  I want to take a moment, on behalf of the Customer Service Leadership team, to",A,Leadership & Management,Demonstrated strong leadership and mentoring,
"As we wrap up the year, I want to take a moment to recognise everyone. The way we show up for each o",D,Teamwork & Collaboration,Strong collaboration and team support,
Marcus thank you so much for your support and walkthrough sessions for DataView VAT Reports for Euro,D,Teamwork & Collaboration,Strong collaboration and team support,
"Oliver, Sarah, and James, I want to take a moment to thank you for the way you showed up to our half",A,Leadership & Management,Demonstrated strong leadership and mentoring,
Just wanted to say thanks to you all for being the best colleagues anyone could hope for. It was a c,D,Teamwork & Collaboration,Strong collaboration and team support,
"Emma, thank you for your continued support this year on different projects - Regional Compliance Rep",D,Teamwork & Collaboration,Strong collaboration and team support,
Daniel!! There are many many reasons why I'm so grateful to work with you. I was only singing your p,A,Leadership & Management,Demonstrated strong leadership and mentoring,
Guys just wanted to take the time to thank you all for working together over the last 12 months. Dig,D,Teamwork & Collaboration,Strong collaboration and team support,
I just wanted to say thank you for all the great work on accessibility for Customer Portal last spri,D,Teamwork & Collaboration,Strong collaboration and team support,
"Adrian, I just wanted to say how grateful I am to work with you. You've been with us for over three ",D,Teamwork & Collaboration,Strong collaboration and team support,
As we wrap up the year (and after these last few hectic weeks getting the reward cards stocked for t,D,Teamwork & Collaboration,Strong collaboration and team support,
I would like to extend my sincere thanks to you all for the tremendous work and collaboration throug,D,Teamwork & Collaboration,Strong collaboration and team support,
"As we close another year, I would like to sincerely thank you for the strong collaboration and partn",D,Teamwork & Collaboration,Strong collaboration and team support,
It's not an easy thing to come together as a new team. Particularly when you have many different goa,D,Teamwork & Collaboration,Strong collaboration and team support,
"Hi Priya, I just wanted to take a moment to thank you for your vigilance and quick thinking last Fri",E,Professional Excellence,Professional excellence and expertise,
"Happy birthday from TechFlow Solutions, have a great day!",E,Professional Excellence,Strong professional contribution,
"Team, I couldn't have asked for a better group to accompany me on the journey of launching and demon",E,Professional Excellence,Professional excellence and expertise,
This team continues to drive white glove service to TechCorp as they evolve how their leaders intera,A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Jordan, I wanted to take a minute to recognize your perseverance in leading the charge on AudioTech'",D,Teamwork & Collaboration,Strong collaboration and team support,
"Team, I want to express my gratitude for your incredible support in creating and delivering ChipTech",D,Teamwork & Collaboration,Strong collaboration and team support,
"Taylor & Sophie, I want to spotlight you for two reasons: (1) The excellent recognition program revi",D,Teamwork & Collaboration,Strong collaboration and team support,
"Marcus, congratulations on successfully rolling out Smart Analytics to all of your customers! You we",A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Sarah, Michael, Marcus - fantastic work on your 2025 customer award winners! Sarah, Meridian Corp ha",D,Teamwork & Collaboration,Strong collaboration and team support,
"Team, I wanted to send a shout out to the post-launch Apex Healthcare team as we cross the 90 day ma",D,Teamwork & Collaboration,Strong collaboration and team support,
"Team, as we cross the 90 day mark with TechGlobal, I wanted to give a huge shout out to this team fo",D,Teamwork & Collaboration,Strong collaboration and team support,
"Alex, you've been phenomenal in our two recent major contract extensions. You consistently bring sha",E,Professional Excellence,Professional excellence and expertise,
I wanted to take a moment to thank you all for your recent help with fixing Vertex Solutions' file t,D,Teamwork & Collaboration,Strong collaboration and team support,
Team - I had the pleasure of presenting at today's TS Monthly All-hands about what a successful TSS/,D,Teamwork & Collaboration,Strong collaboration and team support,
I feel incredibly lucky and grateful to have had the privilege of working so closely with you three ,E,Professional Excellence,Professional excellence and expertise,
"Hi Cameron, Thank you so much for your quick adoption of the changes in your pipeline for both the A",E,Professional Excellence,Resilience and adaptability,
This teams relationship with Pinnacle Financial has driven the request for TalentFlow to present at ,A,Leadership & Management,Demonstrated strong leadership and mentoring,
​A quick note from home to wish you all a Merry Christmas and a wonderful New Year! ​Thank you so mu,A,Leadership & Management,Demonstrated strong leadership and mentoring,
"As we approach the end of the year and take stock, I want to express my heartfelt thanks to each of ",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hi Jordan, I just wanted to take a moment to thank you for handling the new Marketplace supplier cas",D,Teamwork & Collaboration,Strong collaboration and team support,
"Happy Birthday Blake! I hope you have the best day ever, filled with lots of fun, family time and la",A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Ryan, on behalf of the entire Night Shift Team, we want to extend a genuine and heartfelt thank you ",D,Teamwork & Collaboration,Strong collaboration and team support,
"On behalf of the customer service leadership and management team, I would like to take a moment to e",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hi Ryan, I wanted to take a moment to thank you for the individual training session. I greatly appre",D,Teamwork & Collaboration,Strong collaboration and team support,
"Sam, I want to say a huge thank you for assisting me with investigating the issue that arose regardi",D,Teamwork & Collaboration,Strong collaboration and team support,
"Folks, this award is way overdue for all the help and support we got from you guys during the year. ",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you everyone for an efficient and smooth sprint. The collaboration was outstanding, and the gr",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you for managing the call on one of the times this customer called while she was really angry ,A,Leadership & Management,Demonstrated strong leadership and mentoring,
I want to take a moment to recognize the incredible work our focus group has accomplished since Marc,A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Marcus, as we close out the year, I want to recognize your exceptional leadership since joining our ",D,Teamwork & Collaboration,Strong collaboration and team support,
"Innovation Steering Committee, Setting up the Innovation Group for the very first time was no less t",B,Innovation & Business Impact,Driving innovation and business results,
"Sarah, thank you for your constant support, guidance, and leadership throughout the year. Your thoug",A,Leadership & Management,Demonstrated strong leadership and mentoring,
Thank you both for prioritizing and implementing the fix for Service Years scheduled job. We noticed,C,Customer & Client Focus,Exceptional customer service and relationships,
"Team, As we approach the end of 2025, I want to take a moment to thank you all for driving the depar",A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Just a little before our closing time this Friday, we were flagged with a high-urgency issue that re",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey Sofia! Just wanted to say thank you for helping me with the Portuguese case, that saved me a lot",D,Teamwork & Collaboration,Strong collaboration and team support,
Just wanted to say thanks for all the help this year with support tickets and projects. It's been a ,D,Teamwork & Collaboration,Strong collaboration and team support,
"Big thanks Ricardo for all your support and respect for urgency of late, particularly in support for",D,Teamwork & Collaboration,Strong collaboration and team support,
"To my fellow Product Development LT, As we reach the end of 2025, I wanted to take a moment to thank",D,Teamwork & Collaboration,Strong collaboration and team support,
"2025 was a hard fought battle. We started with the Platform Surge, shipped Reward Stories, redesigne",E,Professional Excellence,Professional excellence and expertise,
"Isabella, massive congratulations in getting Partner Management live on the contract platform. I kno",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey Team, I would like to take this moment to thank each of you for all your support this year with ",D,Teamwork & Collaboration,Strong collaboration and team support,
I want to take a moment to congratulate you on the challenging call you faced today. You had to deal,E,Professional Excellence,Professional excellence and expertise,
"With the year coming to an end, I want to thank you both for all your help-especially with closing t",D,Teamwork & Collaboration,Strong collaboration and team support,
"As the year comes to an end, I would like to sincerely thank you for the close collaboration and sup",D,Teamwork & Collaboration,Strong collaboration and team support,
Just wanted to thank you all for the effort you put in to getting the feedback forms live for our te,C,Customer & Client Focus,Exceptional customer service and relationships,
Lucia just wanted to say thank you for putting together the draft templates for calculating the next,D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you to my Marketing directs for welcoming me into the circle, and helping make these first 2 m",D,Teamwork & Collaboration,Strong collaboration and team support,
"Alex, your flexibility and willingness to jump in when it matters most never go unnoticed. With your",E,Professional Excellence,Professional excellence and expertise,
I want to extend my sincere appreciation to all of you for the incredible work you've put into Q1 pl,D,Teamwork & Collaboration,Strong collaboration and team support,
"Riley, thank you for taking the lead in organizing our team end-of-year lunch. Your proactive commun",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you, Marcus, Sarah, David and Emma, for all your support throughout 2025. Your help with payme",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thanks so much for including me in the sessions you're doing with new sales onboarding. Today, you d",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you so much team for the incredible support this week, I couldn't have done it without you. Yo",D,Teamwork & Collaboration,Strong collaboration and team support,
This award is to say a massive thank you for your support throughout the year. A good team comprises,D,Teamwork & Collaboration,Strong collaboration and team support,
"Jordan, i just want to say a massive thank you for jumping in to help with an urgent QA for Phoenix ",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you both for the update you provided the leadership team yesterday on the progress and learnin,A,Leadership & Management,Demonstrated strong leadership and mentoring,
Thank you for your partnership this year. I have appreciated your openness and desire to understand ,D,Teamwork & Collaboration,Strong collaboration and team support,
"Congratulations to our Leadership Development Program Graduates! Over the past 8 months, our Executi",A,Leadership & Management,Demonstrated strong leadership and mentoring,
I would like to say a huge thank you for the epic engineering effort that went into delivering the f,D,Teamwork & Collaboration,Strong collaboration and team support,
"Maya and Carlos, I really appreciate how you approached what you considered a challenge, in such a p",E,Professional Excellence,Resilience and adaptability,
"Taylor, I wanted to drop a note to say thank you for the excellent technical analysis work you did o",E,Professional Excellence,Professional excellence and expertise,
Thank you Sam for jumping in on multiple requests from me lately! I so appreciate your responsivenes,D,Teamwork & Collaboration,Strong collaboration and team support,
