award_id,recipient_id,nominator_id,award_title,award_message,category_id,reasoning,award_date,monetary_value_usd,award_status
AWD00036,EMP0024,EMP0011,Teamwork & Collaboration Award,"Team, A long long overdue thank you for all the support and guidance you've given myself in 2025 it'",D,Strong collaboration and team support,2025-08-20,1583,Approved
AWD00037,EMP0033,EMP0009,Customer & Client Focus Award,Thank you Chris for always replying to my many questions and providing me with so much support when,C,Exceptional customer service and relationships,2025-05-08,157,Approved
AWD00038,EMP0016,EMP0054,Teamwork & Collaboration Award,"Team, It's truly a pleasure working alongside such talented and efficient people. Your support, coop",D,Strong collaboration and team support,2025-01-24,407,Approved
AWD00039,EMP0032,EMP0011,Teamwork & Collaboration Award,"With all our ongoing correspondence between ourselves and the suppliers, thank you for being such gr",D,Strong collaboration and team support,2025-02-22,1661,Approved
AWD00040,EMP0018,EMP0031,Teamwork & Collaboration Award,I want to recognize the incredible efforts of our sales team and your dedication to making work mean,D,Strong collaboration and team support,2025-08-30,243,Approved
AWD00041,EMP0038,EMP0008,Teamwork & Collaboration Award,"Hey all, I would like to take this moment to thank each of you for your support this year. From IT i",D,Strong collaboration and team support,2025-06-27,430,Approved
AWD00042,EMP0046,EMP0011,Professional Excellence Award,Thank you for all the incredible efforts during the last Sprint! You delivered algorithm improvement,E,Professional excellence and expertise,2025-12-18,1061,Approved
AWD00043,EMP0025,EMP0056,Teamwork & Collaboration Award,"Phoenix & Titans, This award is a small attempt to recognize something that has been anything but sm",D,Strong collaboration and team support,2025-08-07,1507,Approved
AWD00044,EMP0028,EMP0045,Leadership & Management Award,Thank you all for your incredible efforts during the last Sprint. You went above and beyond by tackl,A,Demonstrated strong leadership and mentoring,2025-06-08,1214,Approved
AWD00045,EMP0021,EMP0002,Teamwork & Collaboration Award,Thank you team for your support throughout 2025. Your guidance on solution revenue and billings for,D,Strong collaboration and team support,2025-05-22,822,Approved
AWD00046,EMP0029,EMP0024,Professional Excellence Award,This is a long overdue thank you for covering for me while I was on sick leave. I got the awful dose,E,Strong professional contribution,2025-10-01,1867,Approved
AWD00047,EMP0050,EMP0057,Teamwork & Collaboration Award,I wanted to take a moment to thank you all for your support this year- assisting with regional VAT q,D,Strong collaboration and team support,2025-10-11,1318,Approved
AWD00048,EMP0052,EMP0051,Teamwork & Collaboration Award,"Marcus, A huge thanks for all your help and support in 2025 it is greatly appreciated. We started of",D,Strong collaboration and team support,2025-04-12,1137,Approved
AWD00049,EMP0055,EMP0003,Teamwork & Collaboration Award,"Sarah and Lisa, I want to sincerely thank you for your hard work and ongoing collaboration on the Au",D,Strong collaboration and team support,2025-04-29,1512,Approved
AWD00050,EMP0035,EMP0057,Teamwork & Collaboration Award,"As we conclude the year, I would like to thank Operations team for consistently being there when nee",D,Strong collaboration and team support,2025-12-02,1671,Approved
AWD00051,EMP0002,EMP0048,Customer & Client Focus Award,"Thank you all for another successful year together, putting our clients needs in the first place. Ap",C,Exceptional customer service and relationships,2025-10-27,1794,Approved
AWD00052,EMP0039,EMP0036,Teamwork & Collaboration Award,Wanted to take a moment to shout you four out today! During the All Hands - AEs you all support got,D,Strong collaboration and team support,2025-03-18,1101,Approved
AWD00053,EMP0009,EMP0010,Teamwork & Collaboration Award,It's been great joining this team and working with you. I've learned a lot thanks to all of you. You,D,Strong collaboration and team support,2025-05-27,849,Approved
AWD00054,EMP0030,EMP0056,Teamwork & Collaboration Award,"Hi Emma, I wanted to recognise you for your help with the most recent rule request from MegaCorp, yo",D,Strong collaboration and team support,2025-09-14,118,Approved
AWD00055,EMP0040,EMP0018,Professional Excellence Award,"It is never easy and straight forward with the first time activities, especially to be done on large",E,Strong professional contribution,2025-04-17,259,Approved
AWD00056,EMP0027,EMP0004,Teamwork & Collaboration Award,I'd like to take a moment to sincerely thank you for your collaboration throughout 2025. From partne,D,Strong collaboration and team support,2025-11-21,1731,Approved
AWD00057,EMP0010,EMP0002,Teamwork & Collaboration Award,I'd like to take a moment to sincerely thank you for your collaboration throughout 2025. From partne,D,Strong collaboration and team support,2025-05-19,943,Approved
AWD00058,EMP0037,EMP0048,Teamwork & Collaboration Award,I would like to nominate Performance team for the professionalism with which few of our urgent reque,D,Strong collaboration and team support,2025-05-28,924,Approved
AWD00059,EMP0037,EMP0044,Professional Excellence Award,Congrats on be a winner on this weeks TechChampion advent calendar wheel spin,E,Strong professional contribution,2025-08-19,917,Approved
AWD00060,EMP0051,EMP0025,Teamwork & Collaboration Award,"Dear teammates, as we move into 2026, I want to sincerely thank each of you for your hard work, reli",D,Strong collaboration and team support,2025-12-18,276,Approved
AWD00061,EMP0018,EMP0036,Teamwork & Collaboration Award,I want to express my sincere appreciation to the Procurement team for your incredible partnership wi,D,Strong collaboration and team support,2025-07-27,110,Approved
AWD00062,EMP0042,EMP0018,Teamwork & Collaboration Award,"Alex as we approach the end of 2025, I want to thank you for all your support throughout the year. Y",D,Strong collaboration and team support,2025-02-04,1107,Approved
AWD00063,EMP0057,EMP0035,Professional Excellence Award,"Marcus, I just wanted to take a moment to say thank you for all the effort you've been putting in—it",E,Professional excellence and expertise,2025-11-14,494,Approved
AWD00064,EMP0045,EMP0057,Teamwork & Collaboration Award,I just wanted to take a moment to thank you for taking the time to address the network connectivity,D,Strong collaboration and team support,2025-01-10,990,Approved
AWD00065,EMP0039,EMP0012,Teamwork & Collaboration Award,"Vincent, wanted to call out all that you have done for the team. It really has been amazing the job",D,Strong collaboration and team support,2025-09-30,1929,Approved
AWD00066,EMP0018,EMP0059,Teamwork & Collaboration Award,Thank you for jumping on the ask to provide daily updates to Regional Financial. It is such a pleasu,D,Strong collaboration and team support,2025-09-23,1318,Approved
AWD00067,EMP0022,EMP0040,Teamwork & Collaboration Award,"Nina & Maya, On behalf of the Merchandise Team, we would like to extend our heartfelt gratitude for",D,Strong collaboration and team support,2025-03-07,144,Approved
AWD00068,EMP0051,EMP0052,Teamwork & Collaboration Award,"Thanks to each and everyone one of you for all your hard work, dedication and teamwork throughout 20",D,Strong collaboration and team support,2025-09-16,1212,Approved
AWD00069,EMP0019,EMP0013,Teamwork & Collaboration Award,"I would like to thank you All for your contributions throughout the year. The hard work, support, an",D,Strong collaboration and team support,2025-12-17,1163,Approved
AWD00070,EMP0059,EMP0027,Teamwork & Collaboration Award,"2025 has been a year of many ups and downs, but everyone showed great resilience and continued worki",D,Strong collaboration and team support,2025-07-02,611,Approved
AWD00071,EMP0057,EMP0023,Teamwork & Collaboration Award,"Karen, this is certainly over due, but huge thanks for the amazing partnership - not just for the re",D,Strong collaboration and team support,2025-11-25,665,Approved
AWD00072,EMP0015,EMP0058,Leadership & Management Award,"Folks, Thanks for all the cross functional support. Managing floats has been challenging but very su",A,Demonstrated strong leadership and mentoring,2025-09-16,1348,Approved
AWD00073,EMP0024,EMP0057,Customer & Client Focus Award,"This award goes to the whole Mobile team because in 2025, we didn't just improve the app… we complet",C,Exceptional customer service and relationships,2025-01-09,682,Approved
AWD00074,EMP0026,EMP0021,Professional Excellence Award,Congratulations Sarah on the birth of your beautiful new baby. Enjoy this precious time with your ne,E,Strong professional contribution,2025-07-30,1504,Approved
AWD00075,EMP0015,EMP0036,Teamwork & Collaboration Award,"Hi Amanda, this is long overdue, but not forgotten. I would like to say a big Thank you for all your",D,Strong collaboration and team support,2025-06-20,1067,Approved
AWD00076,EMP0035,EMP0057,Teamwork & Collaboration Award,"Well well, partner in crime - we did it again! A bit of contract digging saved us a few bob when we",D,Strong collaboration and team support,2025-01-15,1962,Approved
AWD00077,EMP0010,EMP0022,Teamwork & Collaboration Award,I want to take the time to recognise each and every one of you for being such a great team. The way,D,Strong collaboration and team support,2025-01-10,1392,Approved
AWD00078,EMP0025,EMP0022,Teamwork & Collaboration Award,"Thank you all for your continued support throughout the year. There were ups and downs, but every ex",D,Strong collaboration and team support,2025-09-25,1456,Approved
AWD00079,EMP0052,EMP0001,Teamwork & Collaboration Award,"Dear Team, The merchandise team would like to take this moment to thank each one of you for the amaz",D,Strong collaboration and team support,2025-05-19,945,Approved
AWD00080,EMP0050,EMP0053,Teamwork & Collaboration Award,Thank you all for the brilliant collaboration and dedication you've brought to the feedback componen,D,Strong collaboration and team support,2025-04-08,1745,Approved
AWD00081,EMP0013,EMP0037,Teamwork & Collaboration Award,"Hi Alaa, I wanted to thank you for your mentorship this year. I learned a lot, and I truly appreciat",D,Strong collaboration and team support,2025-01-08,1475,Approved
AWD00082,EMP0041,EMP0004,Teamwork & Collaboration Award,"Hey Sharanya and Anitha, It was truly great working with both of you this year. I believe we learned",D,Strong collaboration and team support,2025-01-03,1935,Approved
AWD00083,EMP0013,EMP0052,Teamwork & Collaboration Award,"Dom, I want to take a moment to recognize you for the incredible impact you’ve made since joining th",D,Strong collaboration and team support,2025-02-13,1354,Approved
AWD00084,EMP0022,EMP0038,Leadership & Management Award,"I’d like to take a moment to sincerely thank you for your outstanding leadership throughout 2025, th",A,Demonstrated strong leadership and mentoring,2025-04-30,1951,Approved
AWD00085,EMP0040,EMP0035,Teamwork & Collaboration Award,Hi All i would like to take this moment to thank you all for the help you have given me thru the yea,D,Strong collaboration and team support,2025-01-13,1760,Approved
AWD00086,EMP0055,EMP0054,Teamwork & Collaboration Award,Guys just wanted to say a big thank you for all the teamwork efforts put into the last 12 months. Fr,D,Strong collaboration and team support,2025-03-08,1516,Approved
AWD00087,EMP0030,EMP0020,Professional Excellence Award,Just wanted to say a big thankyou for covering while I had a couple off days off here and there over,E,Strong professional contribution,2025-10-14,322,Approved
AWD00088,EMP0046,EMP0005,Teamwork & Collaboration Award,Guys I just want to take this time to say a huge thank you to you all for all the collabs in 2025! I,D,Strong collaboration and team support,2025-09-17,1938,Approved
AWD00089,EMP0042,EMP0053,Teamwork & Collaboration Award,"Hey John and Sinead, I would like to take this moment to thank both of you for your incredible suppo",D,Strong collaboration and team support,2025-06-08,1174,Approved
AWD00090,EMP0035,EMP0028,Professional Excellence Award,A big thank you to you for answering all questions during the weekend shift—it truly made a differen,E,Professional excellence and expertise,2025-02-02,802,Approved
AWD00091,EMP0001,EMP0054,Teamwork & Collaboration Award,Hi All - i would like to thank you for your help throughout the year - with out all your contributio,D,Strong collaboration and team support,2025-06-12,698,Approved
AWD00092,EMP0055,EMP0039,Teamwork & Collaboration Award,"Thank you, Sharon, for your outstanding work this year — i think it was the toughest yet, with SAP,",D,Strong collaboration and team support,2025-04-06,847,Approved
AWD00093,EMP0044,EMP0008,Innovation & Business Impact Award,Thank you to the cross-functional teams for the successful transition of the final physical gift car,B,Delivering business impact and results,2025-07-25,1270,Approved
AWD00094,EMP0011,EMP0019,Teamwork & Collaboration Award,"Hey all, I would like to take this moment to thank each of you for all your support in 2025 with all",D,Strong collaboration and team support,2025-07-25,332,Approved
AWD00095,EMP0050,EMP0030,Teamwork & Collaboration Award,Thank you for being such a vital part of our cross-functional journey this year! Your collaboration,D,Strong collaboration and team support,2025-10-20,1534,Approved
AWD00096,EMP0031,EMP0039,Teamwork & Collaboration Award,"Yasmin, thank you for all your support with gift card issues from our customer service team this yea",D,Strong collaboration and team support,2025-07-24,1342,Approved
AWD00097,EMP0017,EMP0035,Leadership & Management Award,"Hey Val!   We’re almost at the end of the year, which means that soon you won’t be my TL anymore 🥲.",A,Demonstrated strong leadership and mentoring,2025-09-21,1623,Approved
AWD00098,EMP0050,EMP0007,Professional Excellence Award,This award is a special award for each of you who contributed into bringing Floats to the great shap,E,Strong professional contribution,2025-12-12,1954,Approved
AWD00099,EMP0035,EMP0044,Teamwork & Collaboration Award,"As the year comes to an end , I would like to take a moment to sincerely thank each of you for the o",D,Strong collaboration and team support,2025-12-16,1211,Approved
AWD00100,EMP0023,EMP0037,Teamwork & Collaboration Award,"Dear Procurement Team,  As we close out 2025, I want to express my heartfelt appreciation for your e",D,Strong collaboration and team support,2025-07-16,996,Approved
AWD00101,EMP0028,EMP0003,Teamwork & Collaboration Award,"As we approach the end of another year, I would like to sincerely thank you for the dedication, coll",D,Strong collaboration and team support,2025-11-22,164,Approved
AWD00102,EMP0004,EMP0019,Professional Excellence Award,Thank you Sarah for being an amazing payroll partner throughout the year. You are a pleasure to work,E,Professional excellence and expertise,2025-04-07,568,Approved
AWD00103,EMP0052,EMP0044,Teamwork & Collaboration Award,"Thank you ALL for your fantastic collaboration throughout 2025. Your timely posting of payments, qui",D,Strong collaboration and team support,2025-10-27,1919,Approved
AWD00104,EMP0047,EMP0021,Teamwork & Collaboration Award,Team - I want to recognise the fantastic team effort to finalize our Employee Transfer policy! This,D,Strong collaboration and team support,2025-01-24,984,Approved
AWD00105,EMP0009,EMP0017,Teamwork & Collaboration Award,"As the year comes to a close, I would like to take a moment to thank all of you with whom I had the",D,Strong collaboration and team support,2025-11-02,632,Approved
AWD00106,EMP0035,EMP0043,Teamwork & Collaboration Award,"To the best Payroll duo i've ever had the pleasure to work with, I would like to sincerely thank you",D,Strong collaboration and team support,2025-08-09,1721,Approved
AWD00107,EMP0049,EMP0020,Teamwork & Collaboration Award,"Hey Maria, this award is a special one. It cumulates all you support in 2025 in relation to Expenses",D,Strong collaboration and team support,2025-04-30,395,Approved
AWD00108,EMP0052,EMP0017,Teamwork & Collaboration Award,"Jessica and Maria, As we come to the end of 2025, I want to take a moment to thank you for your part",D,Strong collaboration and team support,2025-07-24,1599,Approved
AWD00109,EMP0046,EMP0043,Customer & Client Focus Award,Kelly thank you so much for following up with the Phoenix Industries customer escalation today. This,C,Exceptional customer service and relationships,2025-09-10,398,Approved
AWD00110,EMP0056,EMP0045,Teamwork & Collaboration Award,"I just wanted to take a moment to celebrate everyone on the Control Center design team, this is long",D,Strong collaboration and team support,2025-07-13,1817,Approved
AWD00111,EMP0035,EMP0055,Teamwork & Collaboration Award,"Thank you both for putting together the recap videos for our areas, Project Management and Integrati",D,Strong collaboration and team support,2025-06-13,1332,Approved
AWD00112,EMP0054,EMP0039,Teamwork & Collaboration Award,"Patricia, apologies for the late notice but I wanted to take a moment to thank for you helping me wi",D,Strong collaboration and team support,2025-06-08,1722,Approved
AWD00113,EMP0059,EMP0001,Professional Excellence Award,"Thomas We hope you have a fantastic birthday, and had a great birthday long weekend",E,Strong professional contribution,2025-07-31,563,Approved
AWD00114,EMP0043,EMP0022,Teamwork & Collaboration Award,"Hi All, As we come to the end of the year, I want to thank each of you for your hard work, dedicatio",D,Strong collaboration and team support,2025-09-13,1012,Approved
AWD00115,EMP0045,EMP0054,Leadership & Management Award,I just want to recognize the fantastic collaboration from the all of you with me for both Payroll an,A,Demonstrated strong leadership and mentoring,2025-03-15,1043,Approved
AWD00116,EMP0034,EMP0011,Teamwork & Collaboration Award,"Lauren and Derek, I just want to take a moment to thank you for all the support you have provided th",D,Strong collaboration and team support,2025-07-25,158,Approved
AWD00117,EMP0058,EMP0003,Customer & Client Focus Award,"Big thank you to Brandon and Chris for yet another round of ""what on earth is he asking that for"", a",C,Exceptional customer service and relationships,2025-02-03,1936,Approved
AWD00118,EMP0038,EMP0033,Teamwork & Collaboration Award,"Daniel, I really appreciate all the work you do for the team. You take on a lot of the support work",D,Strong collaboration and team support,2025-07-29,843,Approved
AWD00119,EMP0002,EMP0014,Professional Excellence Award,Huge thanks and Congratulations to Elena for an amazing years work. She is always on top of every de,E,Professional excellence and expertise,2025-12-01,1127,Approved
AWD00120,EMP0024,EMP0030,Teamwork & Collaboration Award,"Huge thanks to all of our control owners, preparers and delegates for all their work over the past q",D,Strong collaboration and team support,2025-02-24,283,Approved
AWD00121,EMP0036,EMP0060,Teamwork & Collaboration Award,"Guys,  As 2025 winds down i would like to share my gratitude for all the help and support given thro",D,Strong collaboration and team support,2025-03-21,1159,Approved
AWD00122,EMP0032,EMP0043,Teamwork & Collaboration Award,Riley Thank you so much for helping out our Talent Brand team by taking back some of our referral cu,D,Strong collaboration and team support,2025-11-24,1712,Approved
AWD00123,EMP0048,EMP0027,Teamwork & Collaboration Award,"Alex and Cameron didn't just weather a snowstorm, you turned it into a masterclass in quality and te",D,Strong collaboration and team support,2025-11-01,1579,Approved
AWD00124,EMP0013,EMP0028,Teamwork & Collaboration Award,"I would like to take this opportunity to thank you all for your collaboration, unwavering support, a",D,Strong collaboration and team support,2025-02-04,1719,Approved
AWD00125,EMP0042,EMP0037,Teamwork & Collaboration Award,"My dear Compensation ladies,  As I reflect on the past year, I feel I absolutely need to recognize t",D,Strong collaboration and team support,2025-05-01,336,Approved
AWD00126,EMP0012,EMP0049,Teamwork & Collaboration Award,"Maya,  As the year comes to an end, I wanted to take a moment to thank you for all the hard work you",D,Strong collaboration and team support,2025-05-17,1694,Approved
AWD00127,EMP0017,EMP0029,Teamwork & Collaboration Award,While I was on holiday you took charge of the ongoing complicated query with TechCorp and made sure,D,Strong collaboration and team support,2025-05-14,1102,Approved
AWD00128,EMP0041,EMP0048,Teamwork & Collaboration Award,"Michael,  Thanks for all your help, support and guidance in 2025. I know i can give you a ""quick cal",D,Strong collaboration and team support,2025-03-03,844,Approved
AWD00129,EMP0048,EMP0017,Teamwork & Collaboration Award,"Hello Ladies,  I'd like to thank you for your flexibility, patience, and easy going approach. Your u",D,Strong collaboration and team support,2025-04-17,1090,Approved
AWD00130,EMP0053,EMP0004,Teamwork & Collaboration Award,"Hey team, I would like to take this moment to thank you for all your incredible support this year wi",D,Strong collaboration and team support,2025-09-02,1145,Approved
AWD00131,EMP0034,EMP0033,Teamwork & Collaboration Award,"Hey team, I would like to take this time to thank you for all your support in 2025. It has been an e",D,Strong collaboration and team support,2025-02-15,1361,Approved
AWD00132,EMP0057,EMP0020,Teamwork & Collaboration Award,Lisa I want to take the time to recognize the amazing year you have had in Payroll. The list of proj,D,Strong collaboration and team support,2025-11-06,932,Approved
AWD00133,EMP0031,EMP0033,Social Responsibility & Culture Award,"Robert, it is fantastic to see that we went 5 weeks without a single chargeback. This is a record fo",F,Community and social impact,2025-04-30,200,Approved
AWD00134,EMP0005,EMP0060,Teamwork & Collaboration Award,"Hi Tyler,  I just wanted to say thank you for all your support throughout the year. You've always be",D,Strong collaboration and team support,2025-09-28,1092,Approved
AWD00135,EMP0027,EMP0036,Teamwork & Collaboration Award,"Thank you all for your continued support throughout the year. There were ups and downs, but every ex",D,Strong collaboration and team support,2025-02-11,1764,Approved
AWD00136,EMP0007,EMP0022,Teamwork & Collaboration Award,Just wanted to thank you all for all of your help and support over the past year. It's incredible to,D,Strong collaboration and team support,2025-04-05,1950,Approved
AWD00137,EMP0056,EMP0042,Teamwork & Collaboration Award,"Thank you for the support, teamwork, and positive energy you've brought throughout the year. It's be",D,Strong collaboration and team support,2025-09-25,269,Approved
AWD00138,EMP0054,EMP0033,Teamwork & Collaboration Award,Guys just wanted to take the time to thank you all for working together over the last 12 months. You,D,Strong collaboration and team support,2025-10-04,1570,Approved
AWD00139,EMP0017,EMP0034,Teamwork & Collaboration Award,Lads! Just wanted to express my sincere thanks for your help and support this year. Always willing t,D,Strong collaboration and team support,2025-11-01,515,Approved
AWD00140,EMP0008,EMP0040,Teamwork & Collaboration Award,Jordan I really appreciate all your help with organizing the screens for the family festive party an,D,Strong collaboration and team support,2025-11-10,262,Approved
AWD00141,EMP0039,EMP0004,Customer & Client Focus Award,"Dear Marcus and Tyler,  On behalf of the Customer Service Leadership and Management team, we want to",C,Exceptional customer service and relationships,2025-08-26,542,Approved
AWD00142,EMP0046,EMP0040,Teamwork & Collaboration Award,"Sofia and Alex, I wanted to thank you both in recent weeks for helping the phoenix project through v",D,Strong collaboration and team support,2025-03-26,229,Approved
AWD00143,EMP0026,EMP0044,Teamwork & Collaboration Award,"Emma, I really want to thank you for the last few weeks of incredible contributions with regard to s",D,Strong collaboration and team support,2025-07-10,1832,Approved
AWD00144,EMP0024,EMP0007,Leadership & Management Award,"Jake, shout out to you for mastering flow mapping by figuring it out and looking at online resources",A,Demonstrated strong leadership and mentoring,2025-11-19,860,Approved
AWD00145,EMP0033,EMP0006,Teamwork & Collaboration Award,Just wanted to acknowledge all the support the both of you have given me in helping me get the testi,D,Strong collaboration and team support,2025-07-18,421,Approved
AWD00146,EMP0046,EMP0011,Teamwork & Collaboration Award,I would like to express my sincere gratitude for covering my responsibilities last week. I was not,D,Strong collaboration and team support,2025-08-22,1989,Approved
AWD00147,EMP0045,EMP0053,Teamwork & Collaboration Award,Thanks Ryan for diligence and quick response for a report I needed. It was an urgent request that ca,D,Strong collaboration and team support,2025-09-15,366,Approved
AWD00148,EMP0043,EMP0003,Teamwork & Collaboration Award,"I'm so proud of the collaboration, creativity, and commitment this group brought throughout the enti",D,Strong collaboration and team support,2025-12-11,568,Approved
AWD00149,EMP0018,EMP0051,Professional Excellence Award,Thank you all so much for jumping in and making sure today's TechCorp Leaders Meeting was productive,E,Professional excellence and expertise,2025-11-15,789,Approved
AWD00150,EMP0012,EMP0058,Teamwork & Collaboration Award,"Maya and Sam,  As we finish up 2025, I just want to say a big thank you for all your help and teamwo",D,Strong collaboration and team support,2025-12-13,679,Approved
AWD00151,EMP0049,EMP0022,Teamwork & Collaboration Award,"Delivering an AI initiative takes more than planning—it takes alignment, trust, and incredible teamw",D,Strong collaboration and team support,2025-03-13,256,Approved
AWD00152,EMP0008,EMP0024,Teamwork & Collaboration Award,Thank you to each of you for being a part of our filming yesterday around the office. We know the as,D,Strong collaboration and team support,2025-08-02,434,Approved
